Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
62.5,634169658820312500,665,678,3.4,1,1,666,671,3.4,1,1,665,685,3.4,False
78.125,634169658820468750,656,671,3.4,1,1,662,666,3.4,1,1,651,676,3.4,False
93.75,634169658820625000,-9999,-9999,3.4,1,0,662,666,3.4,1,0,651,676,3.4,True
234.375,634169658822031250,-9999,-9999,3.4,1,0,662,666,3.4,1,0,651,676,3.4,True
359.375,634169658823281250,-9999,-9999,3.4,1,0,662,666,3.4,1,0,651,676,3.4,True
359.375,634169658823281250,651,666,3.4,1,1,653,657,3.4,1,1,649,676,3.4,False
375,634169658823437500,649,666,3.4,1,1,650,656,3.4,1,1,648,676,3.4,False
390.625,634169658823593750,647,667,3.4,1,1,648,656,3.4,1,1,647,679,3.4,False
406.25,634169658823750000,647,669,3.4,1,1,648,656,3.4,1,1,646,682,3.4,False
437.5,634169658824062500,642,669,3.4,1,1,648,656,3.4,1,1,636,683,3.4,False
453.125,634169658824218750,621,669,3.7,1,1,620,656,3.4,1,1,622,683,4,False
468.75,634169658824375000,619,670,3.7,1,1,620,656,3.4,1,1,619,685,4,False
500,634169658824687500,619,670,3.4,1,1,620,656,3.4,1,1,619,685,3.4,False
515.625,634169658824843750,618,669,3.7,1,1,617,656,3.4,1,1,619,683,4,False
531.25,634169658825000000,616,669,3.7,1,1,615,656,3.4,1,1,618,683,4,False
562.5,634169658825312500,616,670,3.4,1,1,615,655,3.4,1,1,617,685,3.4,False
578.125,634169658825468750,616,672,3.4,1,1,615,655,3.4,1,1,617,690,3.4,False
593.75,634169658825625000,616,672,3.4,1,1,615,655,3.4,1,1,617,690,3.4,False
625,634169658825937500,616,672,3.4,1,1,616,655,3.4,1,1,617,690,3.4,False
640.625,634169658826093750,616,675,3.4,1,1,616,661,3.4,1,1,616,690,3.4,False
656.25,634169658826250000,615,676,3.4,1,1,616,661,3.4,1,1,615,691,3.4,False
687.5,634169658826562500,614,676,3.1,1,1,615,661,2.8,1,1,614,691,3.4,False
703.125,634169658826718750,614,677,3.4,1,1,615,662,3.4,1,1,613,692,3.4,False
718.75,634169658826875000,614,688,3.4,1,1,615,667,3.4,1,1,613,709,3.4,False
750,634169658827187500,612,723,3.1,1,1,611,705,2.8,1,1,613,742,3.4,False
765.625,634169658827343750,542,731,3.4,1,1,540,705,3.4,1,1,545,758,3.4,False
781.25,634169658827500000,540,735,3.4,1,1,540,713,3.4,1,1,540,758,3.4,False
812.5,634169658827812500,539,753,3.4,1,1,540,748,3.4,1,1,539,758,3.4,False
828.125,634169658827968750,539,754,3.1,1,1,540,750,2.8,1,1,539,758,3.4,False
843.75,634169658828125000,539,754,3.4,1,1,540,750,3.4,1,1,539,758,3.4,False
875,634169658828437500,539,754,3.4,1,1,540,750,3.4,1,1,539,758,3.4,False
890.625,634169658828593750,538,754,3.4,1,1,540,750,3.4,1,1,536,758,3.4,False
906.25,634169658828750000,537,754,3.1,1,1,540,751,2.8,1,1,535,758,3.4,False
937.5,634169658829062500,-9999,-9999,3.1,1,0,540,751,2.8,1,1,535,758,3.4,True
953.125,634169658829218750,534,757,3.4,1,1,538,754,3.4,1,1,531,761,3.4,False
968.75,634169658829375000,529,757,3.4,1,1,527,754,3.4,1,1,531,761,3.4,False
1000,634169658829687500,529,757,3.4,1,1,527,754,3.4,1,1,531,761,3.4,False
1015.625,634169658829843750,531,750,3.4,1,1,527,751,3.4,1,1,535,750,3.4,False
1031.25,634169658830000000,534,749,3.1,1,1,527,749,2.8,1,1,541,750,3.4,False
1062.5,634169658830312500,534,733,3.1,1,1,527,717,2.8,1,1,541,750,3.4,False
1078.125,634169658830468750,612,713,3.4,1,1,610,708,3.4,1,1,615,718,3.4,False
1093.75,634169658830625000,614,707,3.4,1,1,611,699,3.4,1,1,618,716,3.4,False
1125,634169658830937500,617,706,3.4,1,1,617,697,3.4,1,1,618,716,3.4,False
1140.625,634169658831093750,619,701,3.4,1,1,619,692,3.4,1,1,619,710,3.4,False
